Var1,M_1,M_2,M_3,M_4
A00056002,0.0177566833493795,0.0205399741703145,0.0165727550882166,0.0095979840559316
A00056054,0.0324850108474077,0.0363447902123866,0.0309774328828748,0.0173122495481521
A00056116,0.0181218518722021,0.020478394900438,0.0170454770686876,0.00971999523498277
A00056166,0.0263825291686016,0.0324727812150265,0.0240437815891579,0.0146659294463281
A00056257,0.0308555341574625,0.0367351640625183,0.0285481197582071,0.0169329122519732
A00056428,0.0218326089647281,0.024109826393295,0.0207604917377779,0.0116058254406744
A00056693,0.0614071128969927,0.0835394795573984,0.0519225360683805,0.0374574408759128
A00056716,0.0224093360336799,0.0270230846538459,0.0206910867419408,0.0122718404539462
A00056723,0.332957867934082,0.405258521161313,0.278308704475581,0.238506905518818
A00056733,0.0246896463996081,0.0265057384665497,0.0237088237242533,0.0130155966635195
A00056762,0.20541520956383,0.222594176122452,0.19397918223179,0.121092397093779
A00056913,0.0223513272705719,0.0268951969944001,0.0209557484981678,0.0120541964801821
A00057599,0.0161991592390918,0.0190251512483444,0.0151591962944363,0.00872565621357013
A00057630,0.018775237911493,0.0216394529564131,0.0176017957389467,0.0101077445619897
A00058596,0.0526311419096037,0.0650358087464339,0.0464210624630502,0.0306377420523633
A00059063,0.0183406195351439,0.0208240791464396,0.0172506751100915,0.00983908047167589
A00059578,0.0209595201611764,0.0257087127727051,0.0192064563065966,0.0115567994201609
A00059904,0.0170759466914648,0.0195224976715036,0.0160051273096974,0.0091869398290522
