Var1,M_1,M_2
A00051826,0.427028259612595,51.4395853849607
A00051886,0.412736674557967,62.1762240931963
A00051955,0.433307510226391,68.0860676781036
A00053375,0.429228962009466,42.3319063973218
A00053398,0.434420651241535,87.9158071478277
A00053440,0.414033032507589,49.078435486993
A00053460,0.419909374688246,54.2319716715572
A00053480,0.423800040543182,55.5435680738265
A00053597,0.420522337566612,43.9629303815638
A00053909,0.424689747952246,44.8222661125759
A00054215,0.425209043421981,43.0099246314423
A00054239,0.428943294884078,47.1603373557499
A00054287,0.431390110794219,39.5527396008949
A00054359,0.427151293263519,53.9177800222356
A00054369,0.42311696316681,46.8891175389403
A00054387,0.410760028823783,85.5891391644595
A00054400,0.430500482165358,50.624619132886
A00054417,0.424640571360915,59.5671416329848
A00054432,0.424845817057726,64.2961911041018
A00054469,0.41819995792091,70.4321723412121
A00054517,0.421189453944597,48.2869050287976
A00054535,0.437984962338665,74.9644656404058
A00054597,0.420355852462116,106.690272354385
A00054623,0.434489227623665,57.4978260700823
A00054647,0.42596551164504,58.7717249191061
A00054659,0.425201191346253,44.4348135745774
A00054666,0.422736088079265,601.362012488178
A00054673,0.425637372611736,45.841338307724
A00054694,0.419759944315747,53.9213551764572
A00054721,0.42443182517144,49.7229680076743
A00054743,0.416858167126159,57.7277829954176
A00054753,0.425927835202012,46.2225363570412
A00054766,0.431607140172464,49.1165464840215
A00054817,0.41348737142802,53.8711073229373
A00054836,0.429520868198074,44.5961921006424
A00054852,0.431506366623079,44.1587444177871
A00054894,0.42663557191115,56.5843805019477
A00054907,0.434719872271444,134.239879109473
A00054917,0.421657202644074,50.3214755667018
A00054923,0.428645449151628,76.6162662268587
A00054930,0.426445851599887,47.3554454659686
A00055024,0.41252497851251,52.4751796315178
A00055038,0.429545454780664,64.1775516660956
A00055055,0.428180146070284,50.574032177933
A00055065,0.412539194354271,47.9812941116777
A00055077,0.429452403473553,47.6353321472747
A00055085,0.422354781441903,57.4840307944833
A00055103,0.414599839080413,218.087259826476
A00055296,0.420216789823896,52.5911477351003
A00055392,0.436930447052452,50.5730608160351
A00055424,0.418316456249256,57.2073981916397
A00055429,0.425338608149554,60.6657293763057
A00055436,0.425216115206013,60.0264924133909
A00055486,0.433323741787895,61.8547137705686
A00055540,0.425954256356186,44.9164150409806
A00055613,0.43133935157499,71.586551381924
A00055649,0.422377825575984,39.4906805167074
A00055662,0.437835995510136,73.6800715474516
A00055682,0.430796615074017,46.2772550131438
A00055731,0.423115640358753,48.8896709105608
A00055745,0.426534691982376,53.0470047854965
A00055754,0.470170238943556,388.598378227292
A00055837,0.421447147500925,48.3138066377936
A00055865,0.428440199783051,54.6606980017051
A00055893,0.432171148216929,89.1597776214794
A00055910,0.413847742885251,94.1201276816908
A00055947,0.426195350225547,96.9769256018934
A00055956,0.408527967451922,49.6554183177264
A00056002,0.403265256298265,43.715789384867
A00056054,0.417552834939048,82.8094921132626
A00056116,0.425206723995129,47.0422805968913
A00056166,0.421322038884511,67.8603776843977
A00056257,0.418852233445845,78.900466862688
A00056428,0.407430166193846,54.3055836610557
A00056693,0.427992086394654,160.450134838203
A00056716,0.416306689178181,56.9545003767161
A00056723,0.430644522024695,875.374471943542
A00056733,0.43076294937199,64.9290248269951
A00056762,0.429980630249569,539.221446560083
A00056913,0.422368430809191,57.6342221323512
A00057599,0.414256549273038,40.9682606648523
A00057630,0.41834329108932,47.951690869256
A00058596,0.430439400903633,138.30582745987
A00059063,0.41889989881955,46.9040047904516
A00059578,0.422026518028273,54.0016145768703
A00059904,0.407334414294733,42.4640646427054
