Var1,M_1,M_2
A00051826,0.419539052524938,92.1655943620754
A00051886,0.425733211392175,95.9562750400962
A00051955,0.402945869450811,113.533982013324
A00053375,0.41798495625104,102.331223206352
A00053398,0.427739381991155,118.652843786543
A00053440,0.423814138618877,86.8219599910123
A00053460,0.423417053808588,74.2167009065446
A00053480,0.421450990162736,94.6874320675751
A00053597,0.417527637386239,98.6270835093561
A00053909,0.436623876237347,147.366533888055
A00054215,0.429175133108249,48.8796134442339
A00054239,0.411441125806641,129.970143167775
A00054287,0.404044276132423,155.231412266525
A00054359,0.388195859481824,193.531383850769
A00054369,0.419765065523929,110.460590095836
A00054387,0.437273270428511,151.877111170093
A00054400,0.377538019695083,135.024755397095
A00054417,0.417544813230691,55.1558742220774
A00054432,0.425635293831074,66.2459129716288
A00054469,0.412028734670009,114.956476999266
A00054517,0.392579849351414,283.752348051803
A00054535,0.421617720748404,75.7139004228642
A00054597,0.404816256694063,112.648138033227
A00054623,0.418663487430066,134.93914328267
A00054647,0.428408646310913,70.4875628996351
A00054659,0.419059699299882,89.8980440604932
A00054666,0.425127117012618,342.956445702198
A00054673,0.423605212949232,93.2329784397689
A00054694,0.423694927186602,82.7755236974142
A00054721,0.414756484880552,314.291087177294
A00054743,0.427980321570459,139.053632187439
A00054753,0.398706616060648,76.7587078262291
A00054766,0.39840984399715,230.885736366373
A00054817,0.432836132537878,228.280534183331
A00054836,0.409000319660467,61.7973372127505
A00054852,0.41438251655268,104.851299412473
A00054894,0.429122106459953,184.281383724894
A00054907,0.421306607166182,161.410409428587
A00054917,0.408396304110655,118.41505823192
A00054923,0.425960332076298,92.9576598997558
A00054930,0.413119756606984,85.0161281785172
A00055024,0.410538047877085,105.247359405708
A00055038,0.417301880277131,102.215005100633
A00055055,0.380473547997149,85.3495541285435
A00055065,0.412821149211685,89.2942196765295
A00055077,0.423111572244415,76.7608427074753
A00055085,0.399389169075843,89.7686334942701
A00055103,0.443854166867416,80.151788005632
A00055296,0.430967267632059,93.4113318158414
A00055392,0.426129773010722,102.638263707515
A00055424,0.40827825368896,94.4901796287972
A00055429,0.395890784122933,219.165168281914
A00055436,0.430047261751495,78.3641619017393
A00055486,0.418763807068824,113.795739102829
A00055540,0.422412275608416,77.5822238415723
A00055613,0.414841268886697,96.9555362604699
A00055649,0.424919693804335,68.1058942689752
A00055662,0.432976383996306,60.5141594344175
A00055682,0.417134586693401,176.499543789142
A00055731,0.410365709272814,236.603979556001
A00055745,0.423966418913694,88.097379068582
A00055754,0.454608851619718,284.551251599113
A00055837,0.4634083635786,82.3836565307939
A00055865,0.432666024572458,106.922207014746
A00055893,0.424352223104619,112.388822726077
A00055910,0.421506998161007,147.500959576163
A00055947,0.42209493892812,102.881289814614
A00055956,0.40201566456692,86.3116446548998
A00056002,0.404531747317536,55.1425764263931
A00056054,0.412039993763945,188.578948330948
A00056116,0.382562966736314,101.456064860276
A00056166,0.448654591943228,119.021632304125
A00056257,0.405103940968389,332.851461976968
A00056428,0.418780886367041,110.380027344839
A00056693,0.427221318266872,62.045046336341
A00056716,0.41669995973297,131.364243429148
A00056723,0.436013288192839,739.270801601608
A00056733,0.421699523675481,126.347278666121
A00056762,0.424440305236699,426.577950344041
A00056913,0.417199264350997,78.6186662424981
A00057599,0.417677576725175,118.912320242576
A00057630,0.423855304017818,355.358984375312
A00058596,0.415544065537229,64.8240663168999
A00059063,0.430252013181709,62.4001986000209
A00059578,0.425241167282618,64.1997142405437
A00059904,0.412599792835757,74.443251467068
