Var1,M_1,M_2,M_3,M_4
A00055613,0.0305043778604447,0.0377562992305027,0.0282448987647641,0.016726173104567
A00055649,0.0225834309357343,0.0273066681782974,0.0209230345042537,0.0123255686752129
A00055662,0.0253149070513165,0.0323359092746409,0.0233432140492688,0.0139016588592539
A00055682,0.0443738651701292,0.0515159495589989,0.0416126454906545,0.0241922780209164
A00055731,0.0252661797295574,0.0294291802430413,0.0236590564106192,0.0136629326958601
A00055745,0.0457671527925906,0.0539955744523926,0.0428319748462459,0.0250203754301851
A00055754,0.0546921513777062,0.0614934496726753,0.0516219024443876,0.0297810408641191
A00055837,0.0417162378218018,0.0584566517174943,0.036821311797836,0.0241314451941096
A00055865,0.0347762530575374,0.0412287116427727,0.0326371228719725,0.0188536231224492
A00055893,0.0532141797607214,0.0649992916971614,0.048709097509888,0.0298548960721942
A00055910,0.0764546803264477,0.098584290893216,0.0699895459144994,0.0434054213792731
A00055947,0.0462614591066685,0.0529425087925064,0.0439012524133507,0.0249480042857661
A00055956,0.0277651383929864,0.0349185420804258,0.0253359988602668,0.0154274633504057
A00056002,0.0370541312173844,0.0435549380311243,0.0345846664232537,0.0202228639617575
A00056054,0.0486313380193035,0.0543388894523245,0.0462369454778692,0.0262075120640392
A00056116,0.0327383917520139,0.0437993992767939,0.0290505761016841,0.0187514318551932
A00056166,0.0377217187770047,0.0598828520956687,0.0331222960190348,0.0218909223512651
A00056257,0.0622077201895042,0.0748951772846729,0.0577010372604401,0.0346028193989871
A00056428,0.0258709663624059,0.0321963497516855,0.0236750698709516,0.0143198452922326
A00056693,0.0349366617397495,0.0439203912937028,0.0316886972673079,0.0195987873668898
A00056716,0.0616354367170054,0.064707825928423,0.0597406955402839,0.0327982573134168
A00056723,0.119060991301499,0.147415394436429,0.105184471766354,0.0716047173091171
A00056733,0.102700193397123,0.11218433809289,0.0979768897814532,0.0567138757531472
A00056762,0.15070442108511,0.159249882942172,0.144786607791341,0.0847609527416008
A00056913,0.0261812206831874,0.0329002021556498,0.023568214725565,0.0147345615373121
A00057599,0.0410149909644654,0.0530445356740731,0.0373987323076916,0.0229581160127743
A00057630,0.029254249214463,0.0363067091522014,0.0267537216728821,0.016230058755945
A00058596,0.0285778372644429,0.0350081674682599,0.0261770179767313,0.0158246771169662
A00059063,0.0379200613897771,0.0408120774559278,0.0364527470908193,0.0201010898807222
A00059578,0.041804132159714,0.0495284560899506,0.0391830348967918,0.0227716628991247
A00059904,0.0234986163972968,0.029847940977267,0.0214276912570731,0.0130371304349197
