Var1,M_1,M_2,M_3,M_4
A00054917,0.0291038323285603,0.0347102196026707,0.0270455940599887,0.0158888882549991
A00054923,0.0643671047320145,0.0758431927821206,0.0596612937323382,0.0358672025865711
A00054930,0.0207565824785787,0.0278696559709074,0.0182684082573673,0.0119145885171234
A00055024,0.0316174082788476,0.0381928239146483,0.0293289893893563,0.0173133220552956
A00055038,0.0478286062483278,0.0527874646190328,0.0452140047686959,0.0259127066198559
A00055055,0.0241149735444704,0.0341337628444012,0.0206047450122201,0.0142832942149717
A00055065,0.114435406692129,0.131033060049238,0.108925784991359,0.0637300696765371
A00055077,0.045969204393832,0.0554233958545831,0.0439747649825527,0.0245883226645798
A00055085,0.0234591188591634,0.0288381854509032,0.021521567801457,0.012937314452735
A00055103,0.0472346086232111,0.0532694552657769,0.0450049797198698,0.0253819920344284
A00055296,0.0424910255514547,0.0471736863818812,0.040094056756917,0.0230003108956391
A00055392,0.0477808985203008,0.052158725386535,0.0456514444037065,0.0256110484541397
A00055424,0.0378674490570456,0.0504071439882649,0.0340528830134844,0.0214560083433193
A00055429,0.0307483397642414,0.0392834374922705,0.0269896386375705,0.0177852098681197
A00055436,0.0248298567202204,0.0300820620841273,0.023224218271801,0.0134387628438335
A00055486,0.0221575169832641,0.0291556256617273,0.0200265738262256,0.0123947845210636
A00055540,0.0250111503156107,0.0341581114677224,0.022327527991912,0.0141838062026589
A00055613,0.0308586437718811,0.0360589572476927,0.0287964494885088,0.016791347131471
A00055649,0.0190085914455406,0.0253705649920567,0.0170345390713305,0.010707472746139
A00055662,0.0227781728931672,0.0285413677129513,0.0207143383295705,0.0126662629481837
A00055682,0.0558216079742337,0.0650767253163955,0.0525857423755213,0.0304705620455892
A00055731,0.0342935325339558,0.0418010705341778,0.0317586595676433,0.0188365865767732
A00055745,0.0344940813637096,0.0418561738342579,0.0321982914504091,0.0187999065898408
A00055754,0.0764952743730801,0.0933771922785483,0.0715357687731574,0.0425114173434819
A00055837,0.0335685739328578,0.0435158400898256,0.0301510930854285,0.0190033810183477
A00055865,0.0440175929078537,0.0477118373216416,0.0422342717887598,0.0234510127650471
A00055893,0.0599116490846786,0.0677872691340977,0.0561701406834721,0.0329270191309016
A00055910,0.105610557982298,0.10993432777932,0.102865649442249,0.0572078364454501
A00055947,0.0379892452129566,0.0455385583143339,0.0354198105122848,0.0207643339507786
A00055956,0.0378106479364198,0.0509298559168543,0.0330895731653919,0.0220153919446021
A00056002,0.0279661307620126,0.0386326462956854,0.0250303882350351,0.0158431612835864
A00056054,0.053222148313838,0.0597455726305139,0.0503255804790952,0.0289053687479067
A00056116,0.033840205052776,0.0439923313235478,0.0299293103726613,0.0194593314470253
A00056166,0.0564975459343163,0.0761916626735215,0.0527751992963178,0.0311117584918711
A00056257,0.0475886447056889,0.0582643368264548,0.043174327622166,0.0268614263554741
A00056428,0.0263419957199004,0.0336320128370748,0.0240463081560616,0.0146198860421533
A00056693,0.025316448089646,0.0324374516724094,0.0227656060078264,0.014255689342009
A00056716,0.0447311191783314,0.0505144885221003,0.0426008394721651,0.0240164887342754
A00056723,0.233031631072733,0.302345706301278,0.196902492161068,0.155909454991633
A00056733,0.0782298243258266,0.0828203936040247,0.075604575022858,0.0421045582466565
A00056762,0.131538150705115,0.15471003545717,0.12509413859706,0.073978339198462
A00056913,0.0358305974565332,0.0473687658106943,0.0320212355645329,0.0204088879110506
A00057599,0.0396410438048312,0.0475722902520966,0.0367112856438129,0.0218337368484701
A00057630,0.0326141945292447,0.0429008390117345,0.0289918423105382,0.0186467220467622
A00058596,0.0241583274086811,0.0317374589615975,0.0215253048533704,0.0137203759833438
A00059063,0.0368750425705154,0.0411824269209978,0.035032738643615,0.0197690002143593
A00059578,0.0528142832210869,0.0722467750156332,0.0482933884549618,0.0296578217694485
A00059904,0.0266204269968214,0.0352824142180697,0.0235554437328759,0.0152431453927969
