Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18
PED_T_01,0.517972266353574,19.7551987447384,0.0256382650927866,0.0378149218785896,0.0207255009000057,0.0169043501085334,48.4285714285714,0.116973780747764,0.0285720133527621,0.0655254848225107,0.0229974294902168,0.0376072078480123,0.0184856252407666,0.015641995487499,51.2857142857143,0.139292439513852,0.0272834882375206,0.0635130564431911
PED_T_02,0.535424275647746,30.9462937517025,0.0320053378917971,0.0502617085263038,0.0268561731249335,0.0218963833417974,49.9285714285714,0.0748159225978997,0.0281177538861893,0.212671259369878,0.039030138725301,0.052837833451235,0.0322160379743841,0.0252857464465602,43.2857142857143,0.080993651404331,0.0285576312110036,0.231074610879504
PED_T_03,0.563384178369091,7.01382062102973,0.00878253268708053,0.0185788730928199,0.00718114973423323,0.00693916465104785,66.9285714285714,0.160645327131188,0.0237633840611971,0.0253692709250308,0.0055974272954575,0.0121422042350514,0.00484240521479742,0.00403736678837615,62.8571428571429,0.213676494597516,0.026458274423995,0.00675957617857399
PED_T_04,0.514830239162507,65.4722492653541,0.109540971167946,0.134952521983207,0.0943036525696851,0.0688086862250391,56.4285714285714,0.0438506444800945,0.0310227573436802,1.08821409958562,0.0536872088496501,0.0887325694028939,0.0438943550795173,0.035965073487407,48.9285714285714,0.0882892409584111,0.0273850582980881,0.521627420047143
PED_T_05,0.487032746214199,54.961334578163,0.058816074278278,0.0873659751827932,0.0473608900056517,0.0404549479298974,53.7142857142857,0.0305596628848118,0.0274353278881409,0.636514379848109,0.0943268548375939,0.127167988274941,0.076542792376423,0.0622842292848001,62.5714285714286,0.0399174815351282,0.0285622746491533,1.04396140966365
PED_T_06,0.517579280698648,35.9475776857583,0.0549894911715373,0.0875721292805898,0.050369628701846,0.0390063443717516,60.2142857142857,0.0747830680124115,0.0294811807241857,0.834762538966368,0.0336499277328037,0.0598442593204995,0.0309987052842747,0.0242045018671939,75.6428571428571,0.118985788762515,0.0282289146590707,0.359907607688738
PED_T_07,0.508281189043218,15.9288115199961,0.0204867146285781,0.034452928105932,0.0170253329415559,0.0144591381225753,59.3571428571429,0.126886178806754,0.0275460059971392,0.0648933260368972,0.0202798728920515,0.0345473598463621,0.0167310854199859,0.014214397337386,53.1428571428571,0.162189493502846,0.0279517626536684,0.0671669976950047
PED_T_08,0.534762674996864,17.4766229126575,0.0232210989545553,0.0374636104888085,0.0181344676030843,0.0167436205739669,48.5,0.121496191353054,0.0262801421831504,0.104202213280888,0.01700233818291,0.0302408696232525,0.0146606686699292,0.0134070615265706,54.6428571428571,0.166581187672229,0.0268978719991058,0.0912828898774912
PED_T_09,0.526086779462017,11.1236020016008,0.0140759347399777,0.0224087954025839,0.0114441791712442,0.00934052141205825,64,0.110285941679575,0.0283849217463855,0.0236981769696656,0.0124331710197617,0.0192561679254827,0.0108315118910183,0.00791031268439981,50.4285714285714,0.116164804108955,0.0302504248756338,0.0161849035297476
PED_T_10,0.516939335306,39.2830902109775,0.0552860726125059,0.0713136158927701,0.0471492783548819,0.0345787975438982,67.5,0.0593135873752064,0.0303350763577187,0.315744652436808,0.0418266072975933,0.0587294187164379,0.0339508826365599,0.0278216400016036,39.0714285714286,0.0685502305651177,0.02821241963846,0.238885079997732
