Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_T_01,0.513325757179478,35.2072440337034,0.0456610328913345,0.0527719805576423,0.041426362240119,0.0257307554647864,0.0572379136067295,0.0713559751944188,0.0426440161638968,0.05189012946667,0.0380752093214162,0.0243818296156249,0.0620649947318956,0.0721623167215524
PED_T_02,0.527845816071384,43.982216605274,0.0482430935820883,0.0619958555616206,0.0417486638883636,0.0285376873713661,0.0499010975653205,0.232159482248012,0.055835657505023,0.0655140353222347,0.0492174019112918,0.0325481555938198,0.0588893172674522,0.239689911239604
PED_T_03,0.530853239673241,20.5333556266897,0.0259774032501549,0.0316331788765952,0.0234234900443103,0.0145875945241738,0.057743345511137,0.0341448110834901,0.0220293548142627,0.0255377969738856,0.0201026538890973,0.012188222939731,0.0685951294020885,0.0121051959841153
PED_T_04,0.513897650840105,81.6972085211369,0.130478294110171,0.151213688811003,0.115200715146313,0.07885145013531,0.0343784897330838,1.09946943677489,0.0739620038155628,0.102877954422063,0.0634713804998105,0.0447753416057247,0.061734284369294,0.544317873883634
PED_T_05,0.491493992850405,67.6904234822475,0.0746757972871029,0.0990111488385109,0.063069056009071,0.0459178343011975,0.0246852023802078,0.659819457985147,0.110597702302374,0.139228300533125,0.0935136439772273,0.0690853267692799,0.0318497817908944,1.05739507810721
PED_T_06,0.513040433228331,68.1680215611992,0.0964335464544037,0.12009476384311,0.0838276706572304,0.0581722407386064,0.0465877887713746,0.967460247150089,0.0747374577563449,0.0912538614126293,0.0666625725333137,0.043461320752585,0.0588214033700311,0.443863913338488
PED_T_07,0.507361103827777,28.7794378377187,0.0370328530872468,0.0471141572293796,0.0320925246430781,0.0217774957015919,0.0665724920382496,0.0791764496020134,0.0368939686632195,0.0466723938875945,0.0317236248130037,0.0218420192246025,0.0889986365016797,0.0784873988378359
PED_T_08,0.520804906078479,42.2305171971188,0.0552287361151548,0.0610395736437225,0.0512929535178005,0.0305466592431864,0.0520541813348456,0.118686943855252,0.0475662416031987,0.0530734684036068,0.0437951598334417,0.0264373268163222,0.0603699371760268,0.111955194861583
PED_T_09,0.517078022811087,24.8972729017586,0.0316954799391308,0.0361293725178689,0.0287793336602307,0.0177244165270488,0.0525278481885413,0.0294209077328365,0.0298194976908174,0.0334364975103051,0.0273749884505194,0.0164780566233687,0.0405464665275489,0.0255349781514552
PED_T_10,0.514078748536165,54.5877841026293,0.0749447957258608,0.0864083264583652,0.0674154889617332,0.0432191935713402,0.0398542876473824,0.324684664931473,0.0615574849119379,0.0730340578727896,0.0552211731763912,0.0353598898819861,0.0426501069165668,0.247304851319843
