Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8
PED_T_01,0.0250797202395631,0.0397155911268948,0.0207063237808525,0.016569014445697,161.0625,0.111482222628708,0.0123501483651902,0.373665913912452
PED_T_02,0.0334565499884584,0.0554580975728785,0.0270237284420424,0.0229552121137823,180.9375,0.0721159211916463,0.0115765089096938,1.40054108909918
PED_T_03,0.00836874534058107,0.0187981251834123,0.00691081635910867,0.0060881782396415,189.46875,0.143055776429845,0.0114743862213372,0.0734110230941193
PED_T_04,0.0822392995027974,0.119593637403619,0.0686613895340034,0.0536147495421877,161.40625,0.0576970537188776,0.0124629433698111,5.13202259364965
PED_T_05,0.0735754248005491,0.108272747564873,0.058758726195051,0.0497492335709787,181.53125,0.0441930678093584,0.011943639962951,4.04333466169092
PED_T_06,0.0416298934243885,0.0823063262492221,0.0385444156287962,0.0302372355617138,168.25,0.115193791588391,0.0119957679124727,3.04665540706777
PED_T_07,0.0215673256181381,0.0380498038578726,0.0182827163715748,0.014799504653046,189.5,0.120001866868217,0.012327793113039,0.379354212924554
PED_T_08,0.021748563568127,0.0402193901170091,0.0174923594486669,0.0159926084932928,197.375,0.131965514750243,0.011439817127779,0.573636470108168
PED_T_09,0.0144397202997229,0.0240722654364178,0.0122048898584538,0.00926986305337305,162.75,0.108670848200431,0.0127969044281195,0.112245018016587
PED_T_10,0.0518204870738984,0.073621907027201,0.0430082809784803,0.0332806351690476,163.09375,0.0671555308188497,0.0125950157616653,1.57535036386387
PED_T_11,0.0779902524058272,0.131604698797154,0.0625516943883444,0.0537468521529424,192.53125,0.096523854274602,0.0118216006454107,5.98485372124144
PED_T_12,0.0789619021855208,0.111341633807016,0.0650329882491744,0.0504121047159736,184.15625,0.0876229978253857,0.0126210270408254,2.94072886812632
PED_T_13,0.0821197078320467,0.121753703232278,0.0653211015774974,0.0543707621906307,184.34375,0.109855316392797,0.0121933389404997,2.96520167191526
PED_T_14,0.0961281199521382,0.117537578098477,0.0843484434564567,0.0579282424568108,137.84375,0.0639251554066039,0.0136714692776006,2.60103459695706
PED_T_15,0.165953407813504,0.211683308421657,0.139589883323652,0.108065359484565,197.21875,0.0584834981090046,0.0130061654820033,9.69929837567393
PED_T_16,0.108448564293135,0.135840020442141,0.0928343551551323,0.0683126176407532,168.4375,0.0406291655313688,0.0131526998157331,5.28690627197609
PED_T_17,0.0987949518399299,0.140975631411144,0.0795681369217236,0.0652319921305958,182.53125,0.0755669456262284,0.0123685279181042,4.14355235851822
PED_T_18,0.135934896773229,0.172598702206451,0.116548258207724,0.0862839560657232,149.1875,0.0325157974289783,0.0130804367532049,9.94254565906268
PED_T_19,0.048872249440389,0.0718543046813086,0.04073457154938,0.0306052390293124,145.625,0.0619753875137467,0.012643159305369,1.30863017225829
PED_T_20,0.0201250854592344,0.0344571587345276,0.0162034179052346,0.0136963131285385,184.28125,0.094221899003999,0.0118945574993782,0.38573187826517
PED_T_21,0.0515397147899545,0.0772124453262319,0.0427139213893922,0.0336935415368135,168.84375,0.0864334821804984,0.0122796796284201,2.29848877298519
PED_T_22,0.0705762775333863,0.107734294209624,0.0561718720222078,0.0478647849544617,192.15625,0.118134409821111,0.012064641390301,2.76445564419499
PED_T_23,0.0161658332877969,0.0348743756468101,0.0128931271220868,0.0115791600442472,176.21875,0.186316723715794,0.0111829518298796,0.241057064663683
PED_T_24,0.027469993520981,0.0535960223394305,0.0210155438948484,0.0196291209788951,172.125,0.163231861600991,0.0112863321069984,0.488406066410992
PED_T_25,0.0372869209610533,0.069325481759017,0.0278480110030228,0.0269074391360997,162.1875,0.159470906053859,0.0110455657978098,0.923146112406659
PED_T_26,0.143729039270926,0.188503545504465,0.11624569336218,0.0964350893930051,182.625,0.0489986411041059,0.0125155835748011,8.19063618190717
PED_T_27,0.0449890364741579,0.0716548586347878,0.0361086319171463,0.0290490623012984,166.84375,0.0787386837715572,0.0120715165449165,1.23805410720913
PED_T_28,0.0687069613994606,0.105795539312226,0.0553979144370079,0.0453715349879718,184.15625,0.0909931225242303,0.0120756219064068,3.47343419060863
PED_T_29,0.0620118829614223,0.0937661325302621,0.0501890057880415,0.0417379128212695,181.375,0.0696336758594342,0.011828323809229,3.74632735772306
