Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_01,0.0326017710789503,0.0397652131771011,0.0297601371773372,0.0181528531281294,0.0525738324101452,0.234359927390513
PED_02,0.0421155979016512,0.0547720608709444,0.0370023318820759,0.0244723562002419,0.0775123371740533,0.525689808449198
PED_03,0.040869010784684,0.052041278106021,0.0362281151939741,0.0235269624084592,0.0639251800342285,0.37560786335056
PED_04,0.0372894726405189,0.0434202263029677,0.0345401431733325,0.0205080113678359,0.0560597882957049,0.134999183569292
PED_05,0.101231966736449,0.104994515325434,0.0981351858804155,0.054962632189738,0.024309134940851,0.588979365198654
PED_06,0.0321668809856987,0.0377375539633895,0.0296178581875806,0.017747706185922,0.0590919525725373,0.104128555637566
PED_07,0.0441226428039448,0.0511674799387743,0.0409341546144287,0.0243124431515158,0.0476847091185867,0.253126878228302
PED_08,0.0261811211636931,0.0321919141189679,0.0235480898450406,0.0147478151882664,0.0668369560111533,0.0797976950865826
PED_09,0.022966679411462,0.0293796371450461,0.0205289612183143,0.0129958678300512,0.0563666786276456,0.0869606097005843
PED_10,0.0413298103890178,0.0439045556830393,0.0397822996927492,0.0219118060455777,0.0295092650869254,0.0815397450945573
PED_11,0.0311776236855633,0.0390787373564902,0.0283374160387252,0.0174204984754085,0.0558598803465758,0.125964097106428
PED_12,0.0435741941004053,0.0578238737881869,0.0371818659356485,0.0260984499835015,0.0842580092095211,0.530477868886859
PED_13,0.0291387251658699,0.0375361737296955,0.0260781305028017,0.016517747127775,0.0667225569848966,0.168141701067723
PED_14,0.0374815223953858,0.0487328183184752,0.0326424953960059,0.0219213808595354,0.0748230364853025,0.385203047887115
PED_15,0.0527353265006543,0.0581740339239334,0.0501695302820784,0.0284568983943926,0.0373235264543741,0.304834193943025
PED_16,0.0353557965433069,0.0411431189396038,0.0329904621629235,0.0192814979265807,0.0420469844212167,0.133608739345891
PED_17,0.0410213387324237,0.0447341925310725,0.039062182757802,0.0219880186575596,0.0341196849495049,0.089381800340302
PED_18,0.0277249947653659,0.0331620517671763,0.0251806561773654,0.0154776414845958,0.0668906662753188,0.0966197712377216
PED_19,0.0482833645142247,0.0574290292576493,0.0449142407580848,0.0265866137937431,0.0516374137964283,0.278497227162713
PED_20,0.0401054414826165,0.043865479692089,0.0382302639447182,0.0214585051878439,0.032995529595692,0.0466561470282269
PED_21,0.0250322983682878,0.0337512544085092,0.0215715598504726,0.0147062669259402,0.094046017728685,0.16609338577363
PED_22,0.0367778601535822,0.0511010701572538,0.0317447699374252,0.0217023940763513,0.060390785125795,0.695246314666048
PED_23,0.0265558365888663,0.0353856175688119,0.0224829095456843,0.0158949636421848,0.0956804186979155,0.28762743625421
PED_24,0.0321016863463966,0.0415376989847044,0.0283980981017712,0.0184292251874229,0.0525314237828071,0.221285060995129
PED_25,0.0257418436236563,0.0316772494731159,0.0235375361081052,0.0142594493457381,0.0530175531349092,0.0989822363334872
