Var1,M_1,M_2,M_3,M_4,M_5,M_6
PED_01,0.0306697924728998,0.0392676394519278,0.0272978067210326,0.0174974918458587,0.0691755179069815,0.224727410237929
PED_02,0.047840332670971,0.055898390753423,0.044195173434,0.0265218785621391,0.0502718040444673,0.501511177339242
PED_03,0.0424531112413654,0.05674996149404,0.0383435478049591,0.0240083564330975,0.0673263336981199,0.5789426798765
PED_04,0.0369250737837756,0.0484983776876583,0.0329029387479107,0.0211054009773893,0.0708992367748732,0.274662855409893
PED_05,0.131407592699633,0.136494030987935,0.127720086561317,0.0722841705066546,0.0210248515025078,1.34014718793752
PED_06,0.0243736690404632,0.0332509192706333,0.0207056116104362,0.0145248747437514,0.0866094642631131,0.119673632326632
PED_07,0.0449616178080674,0.059339408797149,0.0390384047971244,0.0264778968620366,0.0623123193496052,0.48379534157553
PED_08,0.0224823749827796,0.0305452249814828,0.0194769710940615,0.0131235971773602,0.0707640763608841,0.112368611359348
PED_09,0.022897323487995,0.0317704607675276,0.0194073582583643,0.0136640560695921,0.0811426007415036,0.125837439280176
PED_10,0.0325990615596175,0.0406450415265669,0.0296900396085193,0.0181937805066315,0.0652002501102812,0.208565359749902
PED_11,0.0242011784046747,0.0328888026273241,0.0205503979642451,0.0144273233790252,0.0805792818507241,0.136384778630697
PED_12,0.0264041340852686,0.0350053267974978,0.0230221008837331,0.0153427393418307,0.0846709255850634,0.180705367105876
PED_13,0.0283098773607498,0.0376189359369431,0.0248661630218833,0.0163448281448253,0.0698775939794302,0.168503277455632
PED_14,0.047830225368197,0.0612604186334927,0.0424227193171552,0.0276134213788338,0.0670138523926586,0.60570542150723
PED_15,0.046475476453322,0.0605866659320073,0.0414419319227989,0.0266719400873345,0.0489411748955378,0.840569527618986
PED_16,0.0287755634768742,0.0383694714943059,0.0251839142093239,0.0166749822100768,0.0805058137491128,0.153107345870105
PED_17,0.0301562430268501,0.0408965722314399,0.0263355047428886,0.0175233733033238,0.0698531654288596,0.172487046938793
PED_18,0.0278848202025767,0.0396892044499712,0.0229712077773436,0.0171624632850477,0.0694321913231174,0.424129150015381
PED_19,0.0336537766459685,0.0409087046444548,0.0310349411479197,0.0185555636008293,0.0524493621635216,0.143226684196197
PED_20,0.0210341126613454,0.0264898046044329,0.0190136793259455,0.0117566137304447,0.0507674720498163,0.0658977221146008
PED_21,0.0338621989937588,0.045538368469856,0.0294099719940347,0.0198267654946661,0.0788607183161127,0.271700627032693
PED_22,0.0252614412506114,0.0340014319947494,0.0215751584958615,0.0149798129121716,0.0733686763160735,0.232345626405843
PED_23,0.0216244811073532,0.0291353750535487,0.0186894741582985,0.0126459118947729,0.071394161740563,0.0921615943820651
PED_24,0.0319812757601558,0.0390979560659741,0.029131095502669,0.0178373805432923,0.0509187134220696,0.211333761582074
PED_25,0.0289683176781787,0.0409822017746909,0.024541072298887,0.0173446446131937,0.0875805975609589,0.306699891105429
