Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_01,0.525955101640411,61.3767673235287,0.0779250354329059,0.0993277015008333,0.0647035526633509,0.0487559017346408,0.0674814024305435,0.386108837105347,0.0684216922045853,0.0961536397159751,0.0552507530356841,0.0438114900384483,0.0979485835431408,0.475476256142679
PED_02,0.513107945901012,61.5041311814684,0.0819558211703518,0.0931314782076415,0.0756135490406361,0.0462422696527803,0.0598313784091802,0.295991512693349,0.072440317612099,0.0842120945659105,0.0657122291313102,0.0413736791662987,0.0406840183337952,0.419526621290496
PED_03,0.507900221108292,42.7938415458425,0.0560394492450278,0.0711104183806665,0.0471822664914569,0.0342823791109289,0.054515579927113,0.282815215215933,0.0536498450632173,0.0724322903204711,0.0440773454314973,0.0335176230375815,0.0742249492707281,0.377803332124991
PED_04,0.536081904673542,55.8421322711311,0.0688224943784848,0.0784409403705017,0.0642439079097363,0.0381288991973565,0.0532896927804536,0.198849785997949,0.0590215078136965,0.0660107773388382,0.0549267339595111,0.0326395912704235,0.0545156460318482,0.101338998321904
PED_05,0.510430834876913,65.7713083575826,0.0842853294752003,0.0843989080341489,0.0831850810749521,0.0445087943900067,8.10331009649772e-17,0.0524082347650912,0.082601412323561,0.0838206055735661,0.0807134315672796,0.0440199000645341,0.0184739042407515,0.0642950736768061
PED_06,0.51495264264626,59.5752246034106,0.0744667810887523,0.117858815550927,0.0581659833376502,0.0494430944060533,0.0589213917745132,1.06915960271743,0.073986821096517,0.115469576369014,0.0596874287692428,0.0475522630697968,0.0699311078804486,0.703583580624688
PED_07,0.509613809213161,60.1746435670019,0.0766203995995959,0.0976637960892349,0.0671916046191313,0.0453619132733057,0.0893466542735728,0.320308758648033,0.0765654927924419,0.103859884476882,0.0652663992946066,0.0466317940257702,0.119016743408051,0.423169869008497
PED_08,0.512904654132308,30.8516572351199,0.035763571121051,0.0477008457535657,0.0306876677472705,0.0212051719153654,0.0475270490918077,0.146964873140801,0.0417475534479018,0.0568184802508877,0.0353787765490655,0.0251373812055742,0.0668807457029678,0.210341542978654
PED_09,0.509853930953572,69.9146690567763,0.0873303875798173,0.122755283858564,0.0747434934663796,0.0532610603238245,0.0581165016214247,1.05156222567621,0.0904796436870578,0.11576297761762,0.0759866136709112,0.0565309782645435,0.0568211790500376,1.03845879515531
PED_10,0.513923659887056,18.6087135041426,0.0219095273242087,0.0250500793963469,0.0202027836950213,0.0120070657585499,0.0515510377101024,0.00773298276511747,0.0246523433129925,0.0282147119134588,0.022669891990973,0.0135670925932733,0.0705197630002563,0.0105970488262754
PED_11,0.517621215526868,70.4104351686271,0.089752655839887,0.111177721661621,0.0782551003924088,0.0537977622353491,0.0383899381627658,0.505332432989024,0.0838360075573895,0.110023702949667,0.0703105562295191,0.0520870643657507,0.0446826111134399,0.817392586699793
PED_12,0.523216068051679,39.7885946699463,0.0418304644653092,0.055005774070754,0.0358259511960052,0.0249233343852036,0.0789913319952365,0.0952015655786774,0.0540891309848039,0.0729876835634517,0.0448646513572699,0.0334781804316639,0.117846410446601,0.193940010631194
PED_13,0.523422675642022,68.4248362602775,0.103372835336312,0.13201740319827,0.0856548545077561,0.0656499428900016,0.0550564607480457,1.11950626951975,0.0614444696613001,0.0869864673953104,0.0515073252704346,0.0377682631056414,0.0769263424588452,0.427892147133586
PED_14,0.513400865542392,49.7871138449304,0.0621691029918443,0.0768832174299445,0.054531293040424,0.0365334099397707,0.0463148578677814,0.315607346851832,0.0626669091363487,0.0737402992111734,0.0560811947539495,0.0361038542197852,0.0555580232604205,0.189309378733699
