Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_T_01,0.505523619976232,19.943886179902,0.0271753326821084,0.0289849234572444,0.0258722941676253,0.0144614788451728,0.0412703701880576,0.0176202768744819,0.0244332682742461,0.0263834286674603,0.0230996782358282,0.0130759636612326,0.0310174979884503,0.00790299752638589
PED_T_02,0.519980555237358,19.3956445544138,0.0255261219024518,0.0281317774331599,0.023975074230465,0.0137580806264535,0.0393664897581188,0.0124743670828147,0.021841779448767,0.0231217957936171,0.0207390459938196,0.0116239841671705,0.0646656233025481,0.00542437945021543
PED_T_03,0.509292964871608,14.5070466003473,0.0184976386335983,0.0201672667480239,0.0173148836120365,0.00996741517143146,0.0435808094000926,0.0038535425662092,0.0184802247485732,0.0199448057661917,0.0173433247262623,0.00993434182358468,0.0517509323709108,0.00383417098492229
PED_T_04,0.503691378107846,18.4310005669744,0.0227434655344944,0.0257954775335341,0.0208289488179075,0.0125546478650733,0.0454594170462975,0.021464829010299,0.0253011160558878,0.0306707056360819,0.0225305656743156,0.0143816162381539,0.0817260614548284,0.0201363076680682
PED_T_05,0.500961307560198,16.1152138661634,0.0196182568004327,0.0206779537132316,0.0187164615562675,0.0103799328738836,0.0261159330107157,0.00398634865935912,0.0228509656016316,0.0247383393926978,0.0215368001461699,0.0122577088561321,0.0306361725621751,0.00940823133900502
PED_T_06,0.509247668272186,17.5283689482356,0.0235292053536221,0.0257958331255649,0.0217833542422844,0.0128533033268138,0.0453008182068998,0.0108758772061326,0.0211579828275236,0.0238593815402814,0.0195955760143813,0.0115402058273979,0.0496768752029375,0.0118251805790656
PED_T_07,0.513185957712609,21.7464784512799,0.0264674231331727,0.0270216480411283,0.0257021318566069,0.0138039033331905,0.0269633633447088,0.00571962038548962,0.0281065373169065,0.0289523328086633,0.0271225174969981,0.0147631903568608,0.0296432638480018,0.00330942862387844
PED_T_08,0.525601144297388,21.3214320665497,0.0267878402094685,0.0332380365900669,0.0240855263299587,0.015078406196438,0.0912484467441798,0.0414048563231276,0.0241231919444099,0.0276067762321878,0.0221519337340064,0.013289502196381,0.0815549268264528,0.0199603109112037
PED_T_09,0.522901628834328,22.6844060970554,0.0311537275851865,0.0382732295972329,0.0274062760323106,0.0179768188386768,0.0805509866870597,0.039965878072712,0.0236012433550841,0.0308582135122998,0.0200940246839879,0.0140198408146782,0.0828325614267653,0.0406027403889825
PED_T_10,0.510809916179764,15.4819341095093,0.0198868645762599,0.0214284329892037,0.0187352885677501,0.0106567920783158,0.0326513160642038,0.00710819792949545,0.0193371228033908,0.021321666228271,0.0180146641824171,0.0104706951870716,0.0476312843463729,0.00530184842034653
PED_T_11,0.501712511287444,28.0910767366833,0.0371787944185262,0.0393664658985569,0.0355619927574623,0.0197892840468376,0.0237101438199331,0.0237746019601314,0.0366288997708948,0.0395165623941156,0.0348091297530961,0.0196183698633199,0.0344160716905364,0.0278397169412404
PED_T_12,0.501223687595085,31.9576073649469,0.0484408229672757,0.0690873830959544,0.0387064103128989,0.0310365599970076,0.0457362501335364,0.525063388915872,0.0356903007072467,0.054657080953149,0.0292246498011093,0.0221747847184153,0.0515381641801297,0.293146253277046
PED_T_13,0.504180734099643,17.2335819217745,0.0232416620262956,0.0257797125368459,0.0216140637156074,0.012636875680956,0.0681589987692842,0.0132101651263089,0.0215937231270074,0.0234400368259317,0.0203252077837999,0.0115913847664103,0.0377690961298798,0.00748167585974497
