Var1,M_1,M_2,M_3,M_4,M_5
PED_T_01,0.0261300445261166,0.0397175472826928,0.0195657137786976,0.0176756846676097,185.90625
PED_T_02,0.0343342939229416,0.0554584029861041,0.0251818998996412,0.0238089133751911,172.03125
PED_T_03,0.0112228955252667,0.0190823653263176,0.00819901700871136,0.00772366892637307,170.625
PED_T_04,0.0828289155603826,0.119593637403619,0.0645915353586564,0.0553648844126468,162.21875
PED_T_05,0.0740715469040582,0.108272747564873,0.0556846889420414,0.0511288441637909,179.25
PED_T_06,0.0471478135028228,0.0823101459456111,0.0343459866832541,0.0331294285020412,198.875
PED_T_07,0.0233877000119119,0.0380590045716614,0.0170572787893436,0.0162204726011848,162.96875
PED_T_08,0.0236772779179198,0.040256257521129,0.0163137217268254,0.0173848656863846,199.875
PED_T_09,0.0160551265921176,0.0240939638109658,0.0121719324197886,0.0106729241830109,161.65625
PED_T_10,0.0522744282380291,0.073621907027201,0.0411482530151283,0.0340813924018502,161.1875
PED_T_11,0.0792801317506322,0.131604698797154,0.0572807887916509,0.057092058677509,171.53125
PED_T_12,0.0791193842099812,0.111341633807016,0.0636438044726969,0.0511717037326162,190.375
PED_T_13,0.0824037267249266,0.121753703232278,0.063089349284447,0.0560904565334224,171.1875
PED_T_14,0.0962555845804538,0.117537578098477,0.0828498724333918,0.0586959883888178,197.59375
PED_T_15,0.166069985589385,0.211683308421657,0.136640170976319,0.109902377653843,315.15625
PED_T_16,0.108700023776031,0.135840020442141,0.0899059636774445,0.0694257416019176,200.75
PED_T_17,0.117032870972322,0.15325984978921,0.0957759798909596,0.0758743207397984,165.96875
PED_T_18,0.136063676274171,0.172598702206451,0.114427702985008,0.0867015932959211,214.71875
PED_T_19,0.0491393182237796,0.0718543046813086,0.0393000521639548,0.0314824105807072,218.3125
PED_T_20,0.0213780915590521,0.0344575639575517,0.0155123674291662,0.0148875645394096,173.53125
PED_T_21,0.0520525219243759,0.0772124453262319,0.040473702222674,0.0343520045496694,176
PED_T_22,0.0713425257359981,0.107734294209624,0.052268349858363,0.0504605669542828,172.34375
PED_T_23,0.0193641846608196,0.0348823346384012,0.013923986202888,0.0135945200697898,169.1875
PED_T_24,0.029168413245253,0.0535960400856027,0.0199785015187842,0.0216029352531112,181.53125
PED_T_25,0.0383469066924211,0.069325481759017,0.0260072260253278,0.0288145474146995,168.9375
PED_T_26,0.143934080659825,0.188503545504465,0.111365670136802,0.100105199402803,220.625
PED_T_27,0.045542024480257,0.0716548586347878,0.034254576209146,0.0309686045694039,214.78125
PED_T_28,0.0691516027111736,0.105795539312226,0.0527043315247959,0.046964213498657,180.625
PED_T_29,0.062594983265666,0.0937661325302621,0.0474798926899678,0.0425725554782646,197.71875
