Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_01,0.506296569221855,25.0827087214704,0.0264111999133218,0.0305981029596343,0.0241080146820698,0.0146538124454996,0.0682252554177929,0.029067801091649,0.0382946871885714,0.0440374646881884,0.03503892271028,0.0213201306685434,0.0647546542277817,0.0394940277269923
PED_02,0.512027627078659,33.1441768427679,0.0377297017215319,0.045744861518964,0.0334286794704318,0.0216865548536052,0.0644347246139489,0.0620715490326595,0.0458339245007492,0.0565061819964598,0.0398073373584356,0.0269827278102802,0.0709560957159232,0.144182954056551
PED_03,0.49351719418335,30.1281890027572,0.0455480793676245,0.0534053984993475,0.0407832070998699,0.0260059337920948,0.0618535516332418,0.061442540647003,0.0362501015401928,0.0448862394937923,0.031753497960697,0.021065691567275,0.067643163352209,0.0783498620467697
PED_04,0.500030929147547,28.1843240194131,0.0382747822560261,0.0434126175925472,0.0353882205173662,0.0210953292048802,0.058588934141267,0.0248043347983175,0.0362776975498656,0.041670072962847,0.0333024998177503,0.0201111117108731,0.0667204037808134,0.033507005430038
PED_05,0.509593043134304,79.2174595071966,0.0981916666051303,0.0992981670832545,0.0960417317309646,0.0526893029608332,0.0143068358253771,0.0939741735462157,0.103488059395186,0.108400680590444,0.0994087653225487,0.0567681006961433,0.0290371051094977,0.168120250757675
PED_06,0.517564892073341,24.7411854851698,0.0303172878035847,0.0338742501860017,0.0280422941291477,0.0166315301710028,0.0464510533927313,0.0188265440474578,0.0306929617014742,0.0351960143177058,0.0280865084115029,0.0170225545419345,0.0610797326896889,0.0214585058163051
PED_07,0.51797183406449,35.4357205812259,0.0438226311514299,0.0495909103846697,0.0406416315699399,0.024136272686565,0.056808865774222,0.0355600058571351,0.0434173855015378,0.0485990560560235,0.0404110487407028,0.023822370524939,0.0375254461494273,0.0773170556640538
PED_08,0.497314567779516,19.5569051477067,0.0274928958244637,0.0323120860512327,0.0246473492456993,0.0155394643834779,0.0728927658948006,0.0204143958366331,0.024803703374898,0.0291394704644602,0.0224252503123438,0.0139033720242646,0.0506801974042182,0.0133294381943406
PED_09,0.517442522893256,18.5320326730388,0.0235997529681686,0.0284962903154465,0.0210097539708716,0.0134070700836137,0.0705153910538183,0.0232526175397801,0.0221215071002981,0.0260788175171613,0.0197840773310284,0.0125008795793158,0.0725248693140668,0.0116433623749222
PED_10,0.510107567976181,31.7692116018796,0.0404872812479053,0.0421458956429606,0.0390176723254407,0.0214087186413536,0.0335455068267215,0.0175421120230881,0.0402275979513857,0.0419101735585301,0.0387149105613009,0.0213130714823766,0.0280199013643286,0.017460824376717
