Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18
PED_T_01,0.513325757179478,35.2072440337034,0.00859551856291586,0.251783583424715,0.0227558352049085,0.0244601277048059,Inf,0,-0.0384615384615388,5.18518518518519,0.639254460478683,0.0227558352049085,0.0244601277048059,Inf,0,-0.0384615384615388,5.18518518518519,0.639254460478683
PED_T_02,0.527845816071384,43.982216605274,0.010737845850897,0.351172068257963,0.0240671639347991,0.0267198190745546,Inf,0,-0.0384615384615381,6.40740740740741,0.675403310149235,0.0240671639347991,0.0267198190745546,Inf,0,-0.0384615384615381,6.40740740740741,0.675403310149235
PED_T_03,0.530853239673241,20.5333556266897,0.0050130262760473,0.127808081674985,0.0129163202909108,0.0139313714490788,Inf,0,-0.0384615384615401,3.37037037037037,0.363683645502169,0.0129163202909108,0.0139313714490788,Inf,0,-0.0384615384615401,3.37037037037037,0.363683645502169
PED_T_04,0.513897650840105,81.6972085211369,0.0199456075491057,0.337046538340019,0.0649870581946814,0.0697382365533396,Inf,0,-0.0384615384615383,7.40740740740741,1.8266961175424,0.0649870581946814,0.0697382365533396,Inf,0,-0.0384615384615383,7.40740740740741,1.8266961175424
PED_T_05,0.491493992850405,67.6904234822475,0.0165259822954706,0.312658649368375,0.0372124690499153,0.0423670978138264,Inf,0,-0.040686911614684,7.62962962962963,1.04546116201944,0.0372124690499153,0.0423670978138264,Inf,0,-0.040686911614684,7.62962962962963,1.04546116201944
PED_T_06,0.513040433228331,68.1680215611992,0.0166425833889647,0.355129693069255,0.0475343049085762,0.0515333110173086,Inf,0,-0.0384615384615394,6.18518518518519,1.35006965036165,0.0475343049085762,0.0515333110173086,Inf,0,-0.0384615384615394,6.18518518518519,1.35006965036165
PED_T_07,0.507361103827777,28.7794378377187,0.0070262299408493,0.145589414689035,0.0180664082416159,0.0204061333264845,Inf,0,-0.0390905919585014,6.25925925925926,0.518459943221456,0.0180664082416159,0.0204061333264845,Inf,0,-0.0390905919585014,6.25925925925926,0.518459943221456
PED_T_08,0.520804906078479,42.2305171971188,0.0103101848625778,0.239311293416193,0.0275129460316285,0.0285004702619078,Inf,0,-0.0384615384615391,2.59259259259259,0.773202305612168,0.0275129460316285,0.0285004702619078,Inf,0,-0.0384615384615391,2.59259259259259,0.773202305612168
PED_T_09,0.517078022811088,24.8972729017586,0.00607843576703091,0.0994301414512862,0.0160180964450885,0.0172339212932981,Inf,0,-0.0384615384615375,5.7037037037037,0.443736719147832,0.0160180964450885,0.0172339212932981,Inf,0,-0.0384615384615375,5.7037037037037,0.443736719147832
PED_T_10,0.514078748536165,54.5877841026293,0.013327095728181,0.246303737524907,0.0373012873288032,0.0402500321584551,Inf,0,-0.0384615384615379,4.7037037037037,1.04922714016205,0.0373012873288032,0.0402500321584551,Inf,0,-0.0384615384615379,4.7037037037037,1.04922714016205
PED_T_11,0.512918404135789,82.6467591138327,0.0201774314242756,0.405272847234116,0.0596675600796388,0.0673545742678027,Inf,0,-0.0385204905398428,6.48148148148148,1.6863127085397,0.0596675600796388,0.0673545742678027,Inf,0,-0.0385204905398428,6.48148148148148,1.6863127085397
PED_T_12,0.506117844081086,74.1153224182713,0.0180945611372733,0.355285870367462,0.0519184122776032,0.0579737803372123,Inf,0,-0.0384615384615374,6.11111111111111,1.44191858582464,0.0519184122776032,0.0579737803372123,Inf,0,-0.0384615384615374,6.11111111111111,1.44191858582464
PED_T_13,0.504065401044775,73.5304341922712,0.0179517661602225,0.365484605327847,0.0386220891971535,0.0457155927633341,Inf,0,-0.0384615384615369,6.37037037037037,1.08399220804177,0.0386220891971535,0.0457155927633341,Inf,0,-0.0384615384615369,6.37037037037037,1.08399220804177
PED_T_14,0.513085494472882,92.4183376166233,0.0225630707071834,0.328493301883935,0.0625178116952814,0.0672189911753281,Inf,0,-0.0391295427246762,7.03703703703704,1.76298706619155,0.0625178116952814,0.0672189911753281,Inf,0,-0.0391295427246762,7.03703703703704,1.76298706619155
PED_T_15,0.515870639568742,144.050473007603,0.0351685725116219,0.551742285246975,0.0833258486416191,0.0911766632197875,Inf,0,-0.0384615384615399,7.59259259259259,2.35470384831083,0.0833258486416191,0.0911766632197875,Inf,0,-0.0384615384615399,7.59259259259259,2.35470384831083
PED_T_16,0.510241541961797,95.8594807753288,0.0234031935486643,0.401829222369955,0.0595804779435584,0.0649239373928388,Inf,0,-0.0384615384615383,5.96296296296296,1.67573643021151,0.0595804779435584,0.0649239373928388,Inf,0,-0.0384615384615383,5.96296296296296,1.67573643021151
PED_T_17,0.51410158270213,101.517802543898,0.0247846197616939,0.414736330535991,0.0675235272532749,0.0767282392813074,Inf,0,-0.038461538461537,7.03703703703704,1.88737342430631,0.0675235272532749,0.0767282392813074,Inf,0,-0.038461538461537,7.03703703703704,1.88737342430631
PED_T_18,0.500192484705552,113.51968404669,0.0277147666129615,0.433200926950705,0.0794069345150112,0.086437487974314,Inf,0,-0.038461538461539,7.51851851851852,2.20935600300232,0.0794069345150112,0.086437487974314,Inf,0,-0.038461538461539,7.51851851851852,2.20935600300232
PED_T_19,0.52018576692356,54.0729852335285,0.0132014124105294,0.225510451137759,0.033497875425491,0.0356566309547187,Inf,0,-0.0384615384615391,5.11111111111111,0.944177662569484,0.033497875425491,0.0356566309547187,Inf,0,-0.0384615384615391,5.11111111111111,0.944177662569484
PED_T_20,0.526956435782923,29.03689947167,0.00708908678507568,0.184523223548429,0.0179217182578907,0.0193065725860034,Inf,0,-0.0384615384615391,6.85185185185185,0.517909306227375,0.0179217182578907,0.0193065725860034,Inf,0,-0.0384615384615391,6.85185185185185,0.517909306227375
PED_T_21,0.518241422569637,53.2009097603131,0.0129885033594515,0.330502203483833,0.034246263971642,0.0366563481396588,Inf,0,-0.0384615384615384,6.2962962962963,0.961826117519339,0.034246263971642,0.0366563481396588,Inf,0,-0.0384615384615384,6.2962962962963,0.961826117519339
PED_T_22,0.50118390094628,65.9966259806953,0.0161124575148182,0.403259058933603,0.0409108297200414,0.0485018735856171,Inf,0,-0.03846153846154,7.18518518518519,1.13778826942458,0.0409108297200414,0.0485018735856171,Inf,0,-0.03846153846154,7.18518518518519,1.13778826942458
PED_T_23,0.508148322742698,28.1277628064914,0.00686712959142857,0.133402858885837,0.0192471842415943,0.0213073090891744,Inf,0,-0.0384615384615391,6,0.546852241013076,0.0192471842415943,0.0213073090891744,Inf,0,-0.0384615384615391,6,0.546852241013076
PED_T_24,0.507897284013162,41.6652606762067,0.010172182782277,0.273327008426119,0.0284858252687081,0.0313042264964815,Inf,0,-0.0384615384615372,4.77777777777778,0.799205912104026,0.0284858252687081,0.0313042264964815,Inf,0,-0.0384615384615372,4.77777777777778,0.799205912104026
PED_T_25,0.530906199440134,45.5030736028206,0.0111091488288136,0.303686608812154,0.0236115201401665,0.027766474629186,Inf,0,-0.0384615384615379,6.25925925925926,0.67442412273023,0.0236115201401665,0.027766474629186,Inf,0,-0.0384615384615379,6.25925925925926,0.67442412273023
PED_T_26,0.534328966284074,137.485930057673,0.0335659008929865,0.530539972907205,0.0868260393519744,0.0961831514758788,Inf,0,-0.0384615384615397,7.85185185185185,2.46112809480382,0.0868260393519744,0.0961831514758788,Inf,0,-0.0384615384615397,7.85185185185185,2.46112809480382
PED_T_27,0.496954705736128,43.8725246766143,0.0107110655948765,0.260683638896574,0.0323999505250042,0.0364226431397388,Inf,0,-0.0353689551847566,7.33333333333333,0.905904789108326,0.0323999505250042,0.0364226431397388,Inf,0,-0.0353689551847566,7.33333333333333,0.905904789108326
PED_T_28,0.515753368670234,65.0557018566858,0.0158827397111049,0.318808382825698,0.0427766145606608,0.0480659801561086,Inf,0,-0.0384615384615379,8.51851851851852,1.18994332620058,0.0427766145606608,0.0480659801561086,Inf,0,-0.0384615384615379,8.51851851851852,1.18994332620058
PED_T_29,0.523584565374984,64.0778089253303,0.0156439963196607,0.449412642184154,0.0401275574732773,0.0439464505648342,Inf,0,-0.038461538461539,6,1.13281811822057,0.0401275574732773,0.0439464505648342,Inf,0,-0.038461538461539,6,1.13281811822057
