Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_T_01,0.520554228806306,45.0990832941352,0.0547553678615592,0.0683981276469685,0.0465776549581463,0.0330571327201238,0.058261960828041,0.291584248823565,0.0551324193013369,0.0707618105986143,0.047728073280698,0.0327122711033364,0.0610409854157015,0.194450849353642
PED_T_02,0.514531026220016,58.6902133272669,0.0622745999939784,0.08375005700762,0.0528114424212528,0.0379577560270119,0.0648701657948554,0.448623263979118,0.0842207365716661,0.104684250782131,0.0716600050319592,0.0515863066774566,0.0469963146167929,0.578494717667801
PED_T_03,0.501939947276456,23.624303161037,0.0306975382891817,0.0403647240985452,0.0263837562125309,0.0181265994960452,0.0766061698930483,0.0742505183493229,0.0313175200773305,0.0401950083920339,0.0264997306456985,0.0187899446492447,0.0840061893574431,0.0408434150198485
PED_T_04,0.50815505540916,37.5076016254042,0.0465505082399483,0.048519379393471,0.0448524839142238,0.0247324486937192,0.0234980940934158,0.0283145630899366,0.0494911071486355,0.0538060310723953,0.0472574621403501,0.0265486616155806,0.0460009149827623,0.0480713215812984
PED_T_05,0.498442141730354,127.109602634254,0.143094529820095,0.18156076799038,0.11730244393509,0.0937466155017812,0.0210865531189262,2.00146094554831,0.195276245870613,0.240799805434235,0.16665773258198,0.126295414749232,0.0310561638045923,2.3246708950037
PED_T_06,0.499263336126965,28.8029566287909,0.0344519200052714,0.0455382511012791,0.0298211057310707,0.0202370714196022,0.106416443858591,0.106672969243008,0.0419712393822484,0.0499327951829524,0.0376085169479774,0.0238871700389908,0.0473883246967077,0.120002792697884
PED_T_07,0.504180243901403,26.6682358603817,0.0359822468220016,0.0457497812967937,0.0315177055615283,0.0209236807843025,0.0708989074254601,0.083683687876795,0.033398742935964,0.037785196722603,0.0307138352905273,0.0184563808766905,0.0394454976863636,0.0318378508424779
PED_T_08,0.512021636513341,25.2353276723529,0.0392775861223981,0.0496231078826243,0.0333239246051008,0.0235942797121346,0.0787558968230083,0.12388202195676,0.0243476491523063,0.0298729307312275,0.0211294632621232,0.0141946265810336,0.0533912682472161,0.0317041552346052
PED_T_09,0.525849346063367,34.5279631734761,0.0417835475762618,0.0514960139112545,0.0364441777622342,0.0244450505101865,0.0622103402433041,0.0826907696059307,0.040579835251377,0.0485061173852386,0.0357771706540016,0.0234728534541486,0.0940524567136767,0.0378495373689849
PED_T_10,0.508371014540478,18.3939237485705,0.0248887207004359,0.0311225951006257,0.02158033667253,0.0145264654846742,0.0579486985557234,0.0429400745184452,0.0221699094931858,0.0274188913121731,0.019451616430865,0.0127925775520196,0.0577953996374912,0.0190634337570965
PED_T_11,0.504447495751279,21.0656327885055,0.0283864734742286,0.0331595118073137,0.0255435135335459,0.0159917946509345,0.0529052382374237,0.0243656655819464,0.0263600334359675,0.0318643177149867,0.023188336875245,0.0151756489448156,0.0636811938693876,0.0294798884274712
PED_T_12,0.512797797098255,24.8318078906217,0.0290098626611997,0.0345386858739477,0.0259235511606718,0.0164620596338204,0.0780416427966979,0.036734398015983,0.0334037946843021,0.0393572535104034,0.0300758086153479,0.0188639284937418,0.0632669389264559,0.0341182181310382
PED_T_13,0.50945271337379,43.3964338223466,0.0497111809682047,0.0696622341311399,0.040163048974468,0.031533946362903,0.0906811258922653,0.183439275630043,0.0608338537471361,0.0801977011578811,0.0504618144949039,0.0377769129168077,0.0920701058840347,0.25953978483089
PED_T_14,0.528587490644957,43.5734551304821,0.0553134701199558,0.0707673816150386,0.0477481841299488,0.0328621720961814,0.089630849056438,0.18578943684194,0.0474915731594828,0.0593174928762822,0.041358140061176,0.0279062892190643,0.0679487800249911,0.177073305771206
PED_T_15,0.514540645413253,29.1634930380113,0.0391266238621659,0.0454523749642901,0.0358337573830257,0.0217717565943556,0.0567670969925565,0.0490992501714161,0.0336649194809668,0.0373038410350126,0.0317048421417782,0.0181679768888272,0.0425593005008926,0.0319246271539203
PED_T_16,0.501743882655916,17.8931704843418,0.0252629601245119,0.0302827554015213,0.022215489788816,0.0145413566504638,0.0665161569318374,0.0262924381457224,0.0217444206581239,0.02685427660616,0.0195205041124278,0.0122391652985121,0.0616239935992785,0.016175823021338
PED_T_17,0.521849500999006,29.1934942500426,0.0370791236677137,0.0440561476799731,0.0334033324605315,0.0209543137127539,0.0653674075059355,0.0540509618134288,0.0336850795457856,0.0449513201334916,0.0285136494594206,0.020225703815346,0.090505270678339,0.12445630482544
PED_T_18,0.516651133846363,14.5376994488942,0.020069121829099,0.0261517273039043,0.0169538622091465,0.0119944646922875,0.0857839667510322,0.0197000347351266,0.01591137894528,0.0191651368972444,0.0141337480717155,0.00902715533140202,0.0763215414499748,0.00556225447545341
PED_T_19,0.498458324864451,20.3426176506702,0.0290357387737882,0.0355133141994795,0.0254484140989633,0.0167815071474095,0.0939576196162361,0.0241889503598319,0.0251136063976548,0.0295084987486251,0.0224715436103339,0.0142051540762724,0.0747389077183517,0.0120787773868739
PED_T_20,0.5141479725209,28.926507867782,0.0386676845394236,0.0443338708617644,0.0351182913696057,0.0216923243545717,0.0621706711353733,0.0234382017072521,0.0336459348245188,0.0394507790978948,0.0302605979498015,0.0190134381455492,0.0616707581508849,0.033495039742811
PED_T_21,0.487894079545987,16.7511869630297,0.0235573336482863,0.0303915705091982,0.0197626739812747,0.0142016075691141,0.112901150015837,0.0200441270340056,0.0229571318375967,0.028656768057542,0.0200301083915992,0.0133031902617195,0.0748087450906266,0.0245303714496604
PED_T_22,0.513146005328527,20.2758369705834,0.0253276492905381,0.0312293962840773,0.0220824406011423,0.014704449000099,0.0903109187002787,0.0304226723695106,0.0255637949832367,0.0303686992260864,0.0230163616017259,0.0143647802811339,0.0608194540352368,0.0209429921732968
PED_T_23,0.512190381377597,15.5536863496342,0.0194194927727375,0.0248607862066457,0.0165733954889348,0.0114847016269002,0.0875241214227814,0.0156123858811835,0.0197691730410751,0.023494953770253,0.0173159358124005,0.0113935851745336,0.0693826669727531,0.0103698652118737
PED_T_24,0.50112340398419,45.8912601301817,0.0697828547521593,0.0837379867434335,0.0622802336255102,0.0404557888962301,0.0572475099998773,0.320329973497634,0.0510782688594446,0.0627272084108319,0.0457671158637801,0.0292225479154548,0.0721192875132437,0.0825715498226672
PED_T_25,0.508859348819972,28.6483942265354,0.0342835779770154,0.0398580350681827,0.0314359259909995,0.0190088010968284,0.0461534972128319,0.0572297615517653,0.0388668056970877,0.0463354976269764,0.0349271402511313,0.0220384117333629,0.0624353255914011,0.0776638222208904
PED_T_26,0.504592896451294,32.9747899492508,0.0500385115836771,0.0626617054554368,0.0407823779249328,0.0314566412459629,0.0552511558228682,0.38396355950351,0.0356083266723958,0.0469226085080364,0.0297922544465374,0.0216516307222407,0.0739504717356318,0.111089623119427
PED_T_27,0.503569375327104,32.809188736499,0.0435718142790166,0.0501326103115272,0.0396471032355634,0.0244562922780796,0.0662958284089178,0.0413146676162671,0.0419945238862647,0.0516401540622133,0.037002123269732,0.0242981291256096,0.0760500517727749,0.0588515586916637
PED_T_28,0.540126596687197,62.1080441882088,0.0685864621990356,0.0838798741029465,0.0596929985922078,0.0407500073668289,0.0610634504645443,0.214188881820484,0.0713074395960978,0.093235775215303,0.0591652657846456,0.04450069412933,0.0964411424202194,0.433016367311413
PED_T_29,0.518903265436735,45.2782571329787,0.0590151924481982,0.0704181649591718,0.0524562984386758,0.0341693360465467,0.0556584041359365,0.19356380691672,0.0520412883066811,0.0594968340826155,0.0473211317133739,0.0293526306631118,0.0526650436894877,0.121742215738573
