Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14
PED_T_18,0.522389280559106,31.6348563710995,0.0352466699814735,0.0456812779929747,0.0302195618828296,0.0209026728539407,0.0729286824399589,0.074750380690413,0.0412696150059495,0.0503815074494999,0.0364238174749581,0.0238547042435288,0.06374263435073,0.0998588926727105
PED_T_19,0.503993316890384,19.9372562922176,0.0263646106639936,0.0315518271343692,0.0236864993763694,0.0148616754630384,0.0662262564008181,0.025620025243554,0.0255436339359155,0.0299197419698492,0.0231596663415102,0.0142621470731425,0.060481532893982,0.0239127007263119
PED_T_20,0.511224246756357,30.3157057404832,0.0366707448279697,0.0409250203645238,0.0341506692078822,0.0200427587720394,0.0500322599455398,0.0266418994737751,0.040007840719152,0.0433610780723096,0.0376419962969935,0.0216793748287499,0.0358970788897526,0.0352218309590603
PED_T_21,0.506599031225817,18.4628497287984,0.0237828345381861,0.0291846792157671,0.0210302228488968,0.0136038572222164,0.059427578953132,0.0187926315244791,0.0237881980061632,0.0299258249632692,0.0208153053198983,0.0137505525861207,0.070562497707134,0.0181464367952416
PED_T_22,0.50651477585385,24.4287234485539,0.0325634592502706,0.0371952034081033,0.0298170261729868,0.0180650582685146,0.0664644286779505,0.0360005842186132,0.0304003519269379,0.0350611290382352,0.0279180187668418,0.0167979132464889,0.0479300368377339,0.0220125056536093
PED_T_23,0.51889390545379,17.3264642771271,0.0211282716188659,0.0246904107026374,0.0191589644457789,0.0117698978675125,0.0653771710477656,0.0140204815791619,0.0213708971948591,0.0249475631032181,0.0192810668637527,0.0119669248100271,0.0757907239233523,0.00547155162978421
PED_T_24,0.505282344203647,33.7391056562645,0.0459124660932744,0.049821716295946,0.0430377499880232,0.0250439825543385,0.0376362543498438,0.0485199364843293,0.0414782007467893,0.0459867887846673,0.038809132370359,0.0226081024832394,0.0336443760810715,0.0375618989219556
PED_T_25,0.493042419425768,32.4858963906068,0.0414506793058424,0.0474532860135676,0.0376385852179829,0.0232898859268889,0.0468656895295288,0.0518463626870695,0.0469163775408029,0.053727830066156,0.043134420111065,0.0261108736300058,0.0434266098731248,0.0798343728760794
PED_T_26,0.502791498732347,22.0447606432877,0.0308647011895288,0.035033388983028,0.0282603422836901,0.0171091380657011,0.0613673354367389,0.0169581136286923,0.0268071919111212,0.0314994986975602,0.024400883371811,0.0149182164416257,0.0487848187032044,0.0216453790676727
PED_T_27,0.510329509767632,28.8755464502409,0.0406296103350959,0.0455074207409561,0.037531980332542,0.022430852820043,0.0524834770003522,0.0744632312965616,0.0326683115754606,0.0378262865189308,0.029712549163232,0.018258957431677,0.052879379274394,0.0283558549150919
PED_T_28,0.513189317442626,31.5809923527867,0.0439108086725451,0.0524273222214069,0.0389528197785706,0.0252852511060721,0.0785916699397609,0.069832455981527,0.0353423289585394,0.0478166842819235,0.0289496211229208,0.0219974007411701,0.126225814317546,0.0994851774306939
PED_T_29,0.52480976347618,43.2661320286334,0.0569690103084514,0.0676390660044628,0.0500502104233025,0.0333378193842784,0.0782965375666903,0.154379509752224,0.0466696700044609,0.0535210035126948,0.0423374473482194,0.0263147150843434,0.0550413790262993,0.0836316853016397
