Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8
PED_01,0.0608099275966789,0.094289184761816,0.0474776029908684,0.0415972759894688,180.0625,0.101470774974394,0.0118024916228649,2.1003099503241
PED_02,0.0478610713723862,0.0753990029158266,0.0386631063970025,0.0327729594541681,165.15625,0.0727110231234263,0.0116995715364556,2.55457435227993
PED_03,0.0439564311522354,0.0697659674870696,0.0345977618215005,0.0301805459103055,189.625,0.0771193283632001,0.0116399836819157,2.07822295369885
PED_04,0.0271987915598425,0.0518941869302302,0.0211473297322856,0.0193125826017609,180.25,0.154149929319249,0.0111821764485287,0.722368925325415
PED_05,0.0159595775888889,0.0300643113277953,0.0134740586080232,0.0108111546901857,172.53125,0.122742082769686,0.0121737526304281,0.231874080287845
PED_06,0.0561440470521079,0.111196161773186,0.0429411285980122,0.041379036646519,201.40625,0.117326795201705,0.0106768559835482,4.20844505458744
PED_07,0.0523011240940465,0.0935500387621438,0.0386722725696673,0.0383000163502542,187.875,0.177037796295759,0.0108152076090896,2.29964060283163
PED_08,0.0225317759431774,0.0451084697730423,0.0183756275214572,0.0169368458563757,180.96875,0.0862585142070809,0.0110874052246984,0.788729826363209
PED_09,0.0720856022889192,0.116201600512645,0.0580667234240988,0.0480092789927647,191.5,0.070859577116225,0.0118610683836503,4.90165658072758
PED_10,0.00687564782173274,0.016182201437764,0.0057808174389427,0.00490472753486389,166.5,0.198990311440688,0.0116341639681632,0.044364676429776
PED_11,0.072000335761301,0.105939015643895,0.0580788331753831,0.0485782063303368,191.625,0.0694813652389425,0.0121666205034305,3.57209223761314
PED_12,0.0377759005115325,0.0649864826389057,0.0290798671955016,0.0258295247193527,169.5,0.14585501371698,0.0114923761555467,0.94477335409875
PED_13,0.0613878263445972,0.0981871108374613,0.0479803834805938,0.0423209133285272,182.6875,0.072885608759752,0.0115189274310315,3.37680272066544
PED_14,0.0411916213755441,0.0664963865274086,0.0327999977909284,0.0272480227199522,168.90625,0.0806893270722706,0.011879153159333,1.33108875107824
PED_15,0.0180783474655548,0.0357316166212572,0.0150456243609131,0.0129497553198714,169.34375,0.151849476250417,0.0117235262510039,0.343015501063066
PED_16,0.03130988686518,0.0512096802450946,0.0251859995279468,0.0216894157828947,173,0.0937652115788908,0.0117428298856353,0.852679246926422
PED_17,0.0335485093971165,0.0564463863244699,0.026171569753555,0.0237482257409136,171.28125,0.101946400151273,0.0112606910044673,1.14625368100583
PED_18,0.0809704423913844,0.129251505408583,0.0661430784611742,0.0535867456606485,184.34375,0.0588317184047657,0.0121687124358585,5.38758647794902
PED_19,0.0305136281919617,0.0542380695904226,0.0233503157199196,0.0214848382010424,187.6875,0.131176219812693,0.0112173525685076,0.863653652997717
PED_20,0.0493803957272229,0.0747038912344182,0.0387821372403117,0.0336469490801408,186.0625,0.072689786672407,0.011661502400158,2.06359762998514
PED_21,0.110130347267377,0.146747326084565,0.0944354274232897,0.0682005851260017,145.90625,0.0659218180330883,0.0132107268416782,4.86862378272617
PED_22,0.0509123422476389,0.0934099385037186,0.038847876490107,0.0353800582426875,161.03125,0.0911457937086336,0.0110034238440421,2.98290432809277
PED_23,0.0680812745469654,0.113257255558945,0.052714369964542,0.0494881564417148,156.46875,0.0650130883115082,0.0111130676534682,5.47704399347816
PED_24,0.10113914079785,0.143921718229847,0.0820211929559026,0.0683397901889145,159.25,0.0708957200368118,0.0122366303149998,7.08945794265537
PED_25,0.124567791049793,0.183476316601951,0.101557457721461,0.0828787444004057,195.0625,0.0546207037354864,0.0123414645839425,9.50380120178523
