Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12
PED_01,0.527944042172671,49.3518788008862,0.0628539821180777,0.0314776969777052,0.0458859488081396,0.272221586988841,52,0.053885424330896,0.0314776969777052,0.0374057834848004,0.232342545551324,59.5
PED_02,0.51566921516416,37.5563846387143,0.0504112285465168,0.0239150013033608,0.0388759268690103,0.264257495346584,53.7857142857143,0.042906218185908,0.0239150013033608,0.0321303393925223,0.224084910488409,56.4285714285714
PED_03,0.511278596049243,32.5630930953607,0.0422209465955322,0.0215753001271177,0.0307783764791409,0.260951361679051,50.5714285714286,0.0401241225830966,0.0215753001271177,0.0278409263764844,0.247736044730267,76.6428571428571
PED_04,0.560267141344259,26.6122838279692,0.0317108289133843,0.0175097342078525,0.0227874350436378,0.284483074979714,53.2142857142857,0.0235457653031049,0.0175097342078525,0.0160283766915493,0.210391827849589,60.8571428571429
PED_05,0.518243207251916,14.1642784976366,0.016666918238509,0.00944583543301415,0.0126683469049907,0.261220730465882,54.8571428571429,0.0181665634936488,0.00944583543301415,0.0133944690676692,0.284932368796117,56.7857142857143
PED_06,0.515111883232255,46.2120302678758,0.0582331123612056,0.0376493430491278,0.0385885284988863,0.26499615360323,75,0.0568477801409964,0.0376493430491278,0.0396536654453196,0.258514390630199,52.5714285714286
PED_07,0.512099892663981,38.6951590601211,0.0484445164715611,0.0279604766506042,0.0332476806117956,0.262173581226667,51.8571428571429,0.0490861215379706,0.0279604766506042,0.0310418833426134,0.265730008275672,55.2142857142857
PED_08,0.515021457267207,19.6084463934804,0.021661753372,0.0136826840091292,0.0156180870859067,0.260228571358499,49.4285714285714,0.0271864490057075,0.0136826840091292,0.019071048526659,0.327479763898387,60.2142857142857
PED_09,0.509555847263979,57.1034333005539,0.0710692582792687,0.0381305336144163,0.0551748982662751,0.263817781107955,50.9285714285714,0.0743320091943227,0.0381305336144163,0.0550609643030319,0.276379714353538,53.4285714285714
PED_10,0.526459508535294,7.72328601561752,0.00855273897356824,0.00479593393756711,0.00664405696098867,0.264319714143669,51.1428571428571,0.0098254395126826,0.00479593393756711,0.00738493713257398,0.303839339892623,50.7142857142857
PED_11,0.519755623295267,57.3015019010447,0.0725904234885326,0.0357119882423811,0.0568733420773891,0.269303139902129,60,0.0674770506303503,0.0357119882423811,0.0492865551335094,0.249695124110447,51
PED_12,0.529761169740567,28.9823202623673,0.0281491364709213,0.0196489929983133,0.020166092845499,0.268524980417241,58.7857142857143,0.0399089473618188,0.0196489929983133,0.02783148117532,0.382907066583004,50.5
PED_13,0.515446554815365,50.57412170478,0.0907382148969223,0.033672527813215,0.0693194616946207,0.269514195229871,63.2142857142857,0.0350368627363786,0.033672527813215,0.0253097242589154,0.101224988832245,53.7142857142857
PED_14,0.517792240955989,34.7280647786815,0.0426287035325367,0.0229730937411316,0.0314093874542253,0.264328905491868,58.5714285714286,0.0429306390639064,0.0229730937411316,0.0326976656441465,0.266240696548628,57.1428571428571
PED_15,0.586618445276791,19.2356754962143,0.0196538738390504,0.0116185356370572,0.0142420834227637,0.296115202864303,63.3571428571429,0.0162061869865374,0.0116185356370572,0.0121011701081757,0.243761533411129,65.9285714285714
PED_16,0.524612275579196,28.0455857699529,0.0364634045564695,0.0181722131295139,0.027614502721565,0.267000152678189,55.7857142857143,0.0307695551333285,0.0181722131295139,0.0227303841976212,0.22467958944505,55.5
PED_17,0.521035050364898,26.1752976340203,0.0316828483994048,0.0177197941547076,0.0215416917977523,0.264558835756047,71.6428571428571,0.0319727525384078,0.0177197941547076,0.0230751174088725,0.267017501236488,42.2142857142857
PED_18,0.511354285783055,66.0335616248249,0.0752907370898387,0.043022089807207,0.0574426890900654,0.265308061955708,69.9285714285714,0.0916433845129256,0.043022089807207,0.0740495881025804,0.325594999332283,56.5714285714286
PED_19,0.509641387733867,25.7061395670129,0.0305862063040875,0.0181941369510952,0.0213742248982875,0.258634760216968,50.7142857142857,0.0348463939111315,0.0181941369510952,0.0235495101984784,0.295274176792193,50.5714285714286
PED_20,0.52182135094304,40.5566690390459,0.0534932092145765,0.0261831844369786,0.0386050970960216,0.267818070068808,51.2142857142857,0.0448260991521633,0.0261831844369786,0.03252612017871,0.22346694143379,61
PED_21,0.508667503103617,83.5693526869515,0.100505005610442,0.0491692973413856,0.0818543041664134,0.267285826822495,56.6428571428571,0.113043597446394,0.0491692973413856,0.100087207798266,0.302553509379616,36.1428571428571
PED_22,0.536469401093564,40.3789695451624,0.0564173459324072,0.0275381934211513,0.0419097263649093,0.27573502985491,51.5714285714286,0.0358816303943623,0.0275381934211513,0.0244940456258011,0.17360153170905,49.7857142857143
PED_23,0.526543436715751,57.3053559824999,0.082105128214955,0.0366910321728721,0.0611646385035374,0.274123272161503,63.0714285714286,0.0542116623364181,0.0366910321728721,0.0376547881058021,0.178496261523133,62.9285714285714
PED_24,0.524405959521707,84.8489564948444,0.117939916719198,0.0515053564765301,0.0885781452459423,0.278011812442522,50,0.0856346369027535,0.0515053564765301,0.0663550159395548,0.198581214074392,72.6428571428571
PED_25,0.517342651988279,101.444839079382,0.145676071460691,0.0643645733386074,0.116006858084462,0.278212013403734,55,0.104703444217043,0.0643645733386074,0.081185362984685,0.195802324085295,53.5714285714286
