Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18
PED_01,0.525955101640411,61.3767673235287,0.077925035432906,0.0993277015008333,0.0647035526633509,0.0487559017346408,35.8571428571429,0.0674814024305436,0.0300542784995844,0.386108837105347,0.0684216922045854,0.0961536397159751,0.055250753035684,0.0438114900384484,32.0714285714286,0.0979485835431407,0.0287333267491947,0.475476256142679
PED_02,0.513107945901012,61.5041311814684,0.0819558211703518,0.0931314782076415,0.0756135490406361,0.0462422696527803,14.5,0.0598313784091801,0.0334218091903467,0.295991512693349,0.072440317612099,0.0842120945659105,0.0657122291313102,0.0413736791662987,25.7857142857143,0.0406840183337952,0.0323910382260899,0.419526621290496
PED_03,0.507900221108292,42.7938415458425,0.0560394492450278,0.0711104183806665,0.0471822664914569,0.0342823791109289,31.2142857142857,0.054515579927113,0.029897931318212,0.282815215215933,0.0536498450632173,0.0724322903204711,0.0440773454314973,0.0335176230375815,30.7857142857143,0.0742249492707281,0.0286856752534839,0.377803332124991
PED_04,0.536081904673542,55.8421322711311,0.0688224943784848,0.0784409403705017,0.0642439079097363,0.0381288991973565,13.1428571428571,0.0532896927804536,0.0338637568879982,0.198849785997949,0.0590215078136966,0.0660107773388382,0.0549267339595111,0.0326395912704235,9.07142857142857,0.0545156460318482,0.0339073085042154,0.101338998321904
PED_05,0.510430834876913,65.7713083575826,0.0842853294752004,0.0843989080341489,0.0831850810749522,0.0445087943900067,0.928571428571429,-1.16024032016052e-16,0.0364182962994835,0.0524082347650912,0.0826014123235611,0.0838206055735662,0.0807134315672796,0.0440199000645342,3.28571428571429,0.0184739042407514,0.0360068027238024,0.0642950736768062
PED_06,0.51495264264626,59.5752246034106,0.0744667810887523,0.117858815550927,0.0581659833376502,0.0494430944060533,38.5,0.0589213917745131,0.0268238719502469,1.06915960271743,0.073986821096517,0.115469576369014,0.0596874287692428,0.0475522630697968,42.5,0.0699311078804486,0.0282530581253724,0.703583580624688
PED_07,0.509613809213161,60.1746435670019,0.0766203995995959,0.0976637960892349,0.0671916046191313,0.0453619132733057,17.1428571428571,0.0893466542735728,0.0315202873347012,0.320308758648033,0.0765654927924419,0.103859884476882,0.0652663992946066,0.0466317940257702,15.2142857142857,0.11901674340805,0.0303876723022202,0.423169869008497
PED_08,0.512904654132308,30.8516572351199,0.035763571121051,0.0477008457535657,0.0306876677472705,0.0212051719153654,27.2142857142857,0.0475270490918077,0.0301769885419399,0.146964873140801,0.0417475534479018,0.0568184802508877,0.0353787765490655,0.0251373812055742,30.3571428571429,0.0668807457029677,0.0297931713919235,0.210341542978654
PED_09,0.509853930953572,69.9146690567763,0.0873303875798173,0.122755283858565,0.0747434934663796,0.0532610603238245,31.4285714285714,0.0581165016214247,0.029782983520047,1.05156222567621,0.0904796436870578,0.11576297761762,0.0759866136709112,0.0565309782645435,26.6428571428571,0.0568211790500376,0.0295700237657373,1.03845879515531
PED_10,0.513923659887056,18.6087135041426,0.0219095273242087,0.0250500793963469,0.0202027836950213,0.0120070657585499,17.3571428571429,0.0515510377101023,0.0338727072554686,0.00773298276511748,0.0246523433129925,0.0282147119134588,0.022669891990973,0.0135670925932733,16.4285714285714,0.0705197630002563,0.0337717712496287,0.0105970488262754
PED_11,0.517621215526868,70.4104351686271,0.089752655839887,0.111177721661621,0.0782551003924088,0.0537977622353491,25.4285714285714,0.0383899381627659,0.0314424059709751,0.505332432989024,0.0838360075573895,0.110023702949667,0.0703105562295191,0.0520870643657507,27.2857142857143,0.0446826111134399,0.0298225685905664,0.817392586699793
PED_12,0.523216068051679,39.7885946699462,0.0418304644653092,0.055005774070754,0.0358259511960052,0.0249233343852036,25.7857142857143,0.0789913319952364,0.0308970758004972,0.0952015655786773,0.0540891309848039,0.0729876835634517,0.0448646513572699,0.0334781804316639,29.0714285714286,0.117846410446601,0.029676916962731,0.193940010631194
PED_13,0.515641075275304,63.529573865074,0.107795030127248,0.133149703165273,0.091521123390341,0.0669615118734293,26.8571428571429,0.0383645248978915,0.0304870135878972,0.821255222091115,0.0500765454950216,0.0706775074876864,0.0423452931591831,0.0303536444414454,36.2142857142857,0.0661360203875335,0.0298593260754516,0.25480097214355
PED_14,0.513400865542392,49.7871138449304,0.0621691029918443,0.0768832174299445,0.054531293040424,0.0365334099397707,21.1428571428571,0.0463148578677814,0.0312400789108155,0.315607346851832,0.0626669091363487,0.0737402992111734,0.0560811947539495,0.0361038542197852,22.2142857142857,0.0555580232604206,0.0324430954925514,0.189309378733699
PED_15,0.544317460841267,43.8646036229418,0.0511638169991933,0.0550479883839213,0.0483475000170199,0.0277568067841586,10.7857142857143,0.0554357579836415,0.0346772614826022,0.0461583620487774,0.0459838847915951,0.0490459125523193,0.0437553093321247,0.0247108429905203,9.14285714285714,0.0420357660863023,0.0347350280177216,0.0627938044973666
PED_16,0.519152941640857,39.4604182326743,0.0511174724543888,0.0628711905708265,0.0441554590985197,0.0303362601403692,33.2857142857143,0.0614077295466236,0.0309638844674198,0.20144171705331,0.0455725204741653,0.0556101151452686,0.0396098680033307,0.0268053588007803,30.3571428571429,0.0503064873365059,0.0312255741940986,0.143488189247514
PED_17,0.515674350270081,37.0116958491439,0.0457456059059799,0.0597533066924259,0.0381551986104667,0.0280414864237391,31.6428571428571,0.064035679247146,0.0295896172403505,0.190976551525229,0.046216545850502,0.060626702421446,0.0394399224209602,0.0276959166529586,25.3571428571429,0.0624810710223082,0.0303355058804289,0.184054032298744
PED_18,0.511024750873622,80.2286895506656,0.0929110066475498,0.116905440876009,0.0790714308611916,0.0571463868815396,29.8571428571429,0.0384496300656974,0.0302748229002588,0.861662767517134,0.110176328122399,0.14794477715465,0.0967020177183811,0.0662851813004843,28.1428571428571,0.0472810314920254,0.0310569355285092,1.18284746092377
PED_19,0.512294327517414,43.3734166316189,0.0520698698010481,0.0636817976728578,0.045171321091685,0.030783812430811,23.2142857142857,0.0797135175129083,0.0312883668649535,0.146222600988239,0.0571672130516295,0.0709640172977909,0.0492844014401932,0.0340951792854216,23.0714285714286,0.0752255290036839,0.0307643526055223,0.227603340325888
PED_20,0.518639630822029,52.7500058726667,0.0690634381656535,0.0877546871294315,0.0580449088901131,0.0425020465303018,30.9285714285714,0.0499790609329406,0.0302009413370016,0.324792923022431,0.0604561171271413,0.0766532546443376,0.0516044623003054,0.0364762711728652,26.4285714285714,0.0522506758242122,0.0300624281511832,0.419406511378593
PED_21,0.508656819214956,94.740368258642,0.114767791186541,0.138170220151766,0.100123612916983,0.0696629358549259,26.2142857142857,0.0518340921111514,0.0313085416970748,1.00123962174974,0.127336970116987,0.150663797869527,0.116435039640975,0.0741843488950345,26.2142857142857,0.0497979233447404,0.0332238157496894,0.679061583362017
PED_22,0.529949376422566,52.282749885139,0.0718955850173156,0.0952829496956789,0.061138160925195,0.0437908675539428,29.8571428571429,0.0577749979384517,0.0301359485969094,0.498814711049066,0.0507852913518759,0.0762311021932355,0.0424196328886545,0.0311634394816956,27.8571428571429,0.0702709328533227,0.0286969164567273,0.375958098550616
